participant_id,condition,q01_response,q02_response,q03_response,q04_response,q05_response,q06_response,q07_response,q08_response,q09_response,q10_response,q11_response,q12_response,q13_response,q14_response,q15_response,q16_response,q17_response,q18_response,q19_response,q20_response
C01,Control,B,C,C,A,C,A,D,D,A,D,B,C,D,C,C,D,B,C,A,A
C02,Control,D,A,A,A,D,A,D,B,A,B,B,D,D,D,A,D,B,A,A,B
C03,Control,C,D,D,A,C,A,C,D,D,D,B,C,B,C,A,C,B,C,A,B
C04,Control,B,D,A,B,C,A,C,D,D,D,B,C,D,C,A,D,B,C,B,B
C05,Control,B,D,A,B,A,A,C,A,A,D,D,C,D,C,C,D,B,C,A,B
C06,Control,D,D,A,B,C,A,D,D,D,B,B,C,D,C,A,D,B,C,A,A
C07,Control,B,D,A,B,A,C,C,D,D,C,B,C,B,C,C,D,B,C,A,D
C08,Control,B,D,C,B,A,A,D,D,A,D,A,C,B,C,A,D,B,C,A,D
C09,Control,B,B,B,B,B,D,C,C,B,C,D,C,B,C,A,D,B,A,C,B
C10,Control,B,C,A,B,B,B,C,A,A,C,D,C,D,B,A,C,D,C,B,B
C11,Control,B,B,C,B,C,C,D,A,D,C,B,C,C,A,A,D,B,B,A,D
C12,Control,B,A,A,D,B,A,C,D,A,C,B,C,D,D,A,B,B,C,B,D
C13,Control,C,D,A,B,C,B,B,A,C,C,B,C,D,A,A,D,B,B,A,A
C14,Control,B,B,B,B,C,C,B,B,A,D,B,C,D,C,A,D,B,B,C,C
C15,Control,B,D,A,B,C,D,C,D,D,D,B,C,D,C,A,D,B,C,A,B
C16,Control,B,D,C,C,D,A,C,D,A,C,D,A,A,B,A,D,B,C,D,B
C17,Control,B,C,A,C,C,A,A,A,D,C,B,C,D,C,A,D,B,A,A,A
C18,Control,B,D,A,D,B,D,A,D,B,C,B,C,D,C,A,D,B,D,B,B
C19,Control,B,B,B,B,D,D,A,C,A,D,B,C,D,C,A,D,C,C,D,D
C20,Control,B,D,A,B,B,D,C,C,A,D,B,C,D,C,A,D,D,C,A,B
C21,Control,B,A,A,B,C,C,A,D,A,C,B,C,D,C,A,B,B,C,A,A
C22,Control,B,D,A,B,D,B,C,A,A,C,B,C,D,B,A,D,B,C,A,B
C23,Control,C,C,A,B,A,A,D,A,D,D,B,D,C,C,D,D,B,C,A,A
C24,Control,B,B,A,D,C,A,C,B,D,D,B,D,D,C,A,D,A,C,A,D
C25,Control,D,B,A,C,C,A,B,D,A,C,B,C,D,C,A,A,B,C,A,B
C26,Control,A,A,A,B,C,D,D,D,D,C,B,C,D,C,B,D,B,A,A,B
C27,Control,B,D,A,B,D,A,D,B,B,C,B,C,D,C,A,D,C,B,D,A
C28,Control,B,D,D,D,D,A,B,A,D,C,B,C,D,C,A,A,B,A,A,B
C29,Control,B,D,B,B,C,A,C,A,A,C,B,C,D,C,A,D,B,C,A,B
C30,Control,D,B,A,B,C,A,C,B,C,D,B,C,D,C,A,D,C,C,A,D
T01,Thematic,D,D,A,D,D,C,C,D,A,B,B,C,A,C,B,D,B,C,B,D
T02,Thematic,A,A,B,B,D,A,C,A,B,C,A,C,C,D,D,D,A,C,B,C
T03,Thematic,D,D,A,B,D,A,C,D,D,A,B,C,A,D,B,C,B,C,B,D
T04,Thematic,B,D,A,B,C,C,A,D,A,C,D,C,C,A,A,D,B,D,A,D
T05,Thematic,D,D,C,B,D,A,D,C,C,D,B,C,A,B,A,A,B,D,B,D
T06,Thematic,B,D,C,D,C,A,C,A,D,B,A,C,A,D,C,D,B,C,D,D
T07,Thematic,B,A,A,B,C,A,C,A,D,C,C,C,A,D,A,B,B,A,D,D
T08,Thematic,B,A,A,B,C,D,B,D,D,C,B,C,A,C,A,D,B,C,B,A
T09,Thematic,B,D,A,C,B,A,B,A,D,A,B,A,A,C,B,D,D,C,B,D
T10,Thematic,B,D,A,B,C,A,C,A,B,D,B,C,B,C,A,A,D,C,D,B
T11,Thematic,B,D,A,B,C,A,D,A,D,C,B,B,A,D,D,D,C,C,B,D
T12,Thematic,A,D,A,B,C,A,C,A,D,C,D,B,B,B,A,D,B,A,C,D
T13,Thematic,A,D,B,B,C,D,C,B,D,B,B,C,A,A,A,D,B,D,A,D
T14,Thematic,B,D,A,A,C,D,C,A,D,D,B,C,A,D,A,D,B,C,B,D
T15,Thematic,B,D,C,B,A,A,A,B,C,C,B,A,A,D,A,D,B,A,B,D
T16,Thematic,B,D,A,B,C,A,A,A,D,C,D,B,A,D,D,D,C,C,B,A
T17,Thematic,B,D,A,B,C,A,D,D,D,A,B,C,C,B,C,C,C,C,B,D
T18,Thematic,B,D,A,B,C,A,A,B,D,C,B,C,B,D,A,D,D,C,B,A
T19,Thematic,B,C,A,B,D,A,B,D,D,C,B,C,B,C,A,C,B,B,C,D
T20,Thematic,B,B,A,B,C,A,C,D,D,C,B,C,A,D,C,A,B,C,B,D
T21,Thematic,B,D,A,B,C,D,D,B,D,C,B,C,A,D,A,D,B,C,B,D
T22,Thematic,B,C,C,B,C,C,C,A,A,C,B,B,A,D,A,D,C,B,D,D
T23,Thematic,B,D,C,D,A,A,C,D,D,D,B,A,D,D,C,D,B,C,B,D
T24,Thematic,D,B,D,C,C,D,D,B,D,C,B,B,B,D,D,D,C,C,C,D
T25,Thematic,B,D,A,B,C,A,C,D,D,C,B,C,A,D,A,D,B,D,B,D
T26,Thematic,B,D,A,B,B,B,C,A,C,A,B,C,A,D,A,D,B,C,B,D
T27,Thematic,B,B,A,A,A,B,C,A,A,C,B,C,A,C,C,D,B,C,B,D
T28,Thematic,B,D,A,B,C,C,C,A,B,C,B,B,A,D,A,C,B,C,B,C
T29,Thematic,B,D,A,B,C,A,C,A,D,B,B,D,A,D,A,D,B,C,B,D
T30,Thematic,B,C,A,D,C,A,C,A,A,C,D,B,A,A,C,D,B,C,C,D
G01,Grounding,B,D,A,D,C,A,C,A,D,C,D,C,B,B,C,B,A,D,B,D
G02,Grounding,B,D,A,B,C,A,C,A,D,C,A,C,A,B,B,B,A,D,A,B
G03,Grounding,B,D,A,B,C,C,C,A,A,C,A,C,B,B,D,B,B,A,D,C
G04,Grounding,B,D,A,C,C,D,C,A,D,C,D,C,C,B,C,A,D,D,C,B
G05,Grounding,B,D,A,B,C,A,C,D,D,C,D,C,A,B,C,B,A,A,A,B
G06,Grounding,B,D,A,B,D,A,C,A,D,C,D,C,D,D,C,B,B,D,A,C
G07,Grounding,B,D,A,B,C,A,B,A,D,C,D,C,A,B,A,B,A,D,A,B
G08,Grounding,B,D,C,B,A,A,C,A,D,C,A,C,C,B,C,B,A,D,A,D
G09,Grounding,B,D,A,B,A,A,C,A,D,C,D,C,A,B,D,B,B,D,B,C
G10,Grounding,D,C,A,B,C,C,C,A,D,C,A,C,A,B,C,C,A,D,D,B
G11,Grounding,B,A,A,B,C,A,C,D,D,C,D,C,D,B,A,B,A,B,A,C
G12,Grounding,B,D,A,B,C,B,B,A,D,A,D,D,A,B,A,C,A,D,A,B
G13,Grounding,A,D,A,C,D,A,C,A,C,C,D,C,C,B,A,B,A,B,A,D
G14,Grounding,B,D,A,B,C,A,C,A,A,C,D,C,A,B,A,B,A,D,A,C
G15,Grounding,B,B,D,B,C,B,C,A,D,C,D,A,A,B,C,B,A,D,A,C
G16,Grounding,B,A,A,B,C,D,C,A,D,C,D,B,C,B,B,B,A,B,A,B
G17,Grounding,B,D,B,D,A,A,C,A,D,C,D,C,A,C,B,D,A,D,B,B
G18,Grounding,B,C,A,B,C,A,C,A,A,C,D,D,A,A,C,D,A,D,D,B
G19,Grounding,B,D,A,C,C,A,C,A,D,C,D,C,A,D,C,B,A,D,A,D
G20,Grounding,B,D,A,B,C,A,C,D,D,D,C,C,A,D,A,D,A,A,A,B
G21,Grounding,B,D,A,B,C,C,C,A,D,C,D,C,B,B,C,B,D,D,A,B
G22,Grounding,B,D,A,B,C,A,C,A,D,C,D,C,A,B,B,B,A,D,C,B
G23,Grounding,B,D,A,B,C,A,C,A,B,C,B,C,A,B,C,B,A,D,B,D
G24,Grounding,B,B,A,B,C,A,C,D,D,C,A,C,A,B,A,D,A,A,A,D
G25,Grounding,B,C,A,B,C,A,C,B,D,A,D,C,A,B,A,B,A,D,A,B
G26,Grounding,A,D,A,B,C,A,C,D,D,C,A,C,A,C,C,B,C,D,A,B
G27,Grounding,B,D,A,B,C,A,C,D,D,C,B,A,A,D,B,B,A,D,A,B
G28,Grounding,A,D,A,B,C,A,C,A,D,C,A,D,A,A,D,A,C,D,B,D
G29,Grounding,D,D,A,B,C,A,C,A,D,C,B,D,D,A,C,B,A,D,A,B
G30,Grounding,C,D,A,B,C,A,C,A,C,C,D,C,A,B,C,B,A,B,A,D
