participant_id,condition,q01_response,q02_response,q03_response,q04_response,q05_response,q06_response,q07_response,q08_response,q09_response,q10_response,q11_response,q12_response,q13_response,q14_response,q15_response,q16_response,q17_response,q18_response,q19_response,q20_response
C01,Control,B,C,C,A,C,C,D,D,A,D,B,C,D,B,C,D,D,D,A,A
C02,Control,D,C,A,A,D,A,D,D,A,D,B,C,D,D,B,D,B,C,A,D
C03,Control,A,D,D,C,D,A,B,D,D,D,B,A,A,B,A,B,B,C,B,D
C04,Control,B,D,A,B,C,A,C,A,D,D,B,C,D,C,A,D,B,C,B,B
C05,Control,B,D,A,B,D,A,C,D,A,D,A,A,D,C,C,A,B,C,A,B
C06,Control,B,D,A,B,C,A,D,D,D,B,B,C,A,C,A,D,B,A,A,A
C07,Control,B,D,A,B,A,D,C,D,D,C,B,C,B,C,B,D,B,A,A,B
C08,Control,B,D,B,B,A,A,D,D,A,D,A,C,D,C,A,D,B,C,A,C
C09,Control,B,B,C,C,D,C,C,B,C,C,C,A,B,C,A,D,B,A,C,D
C10,Control,B,B,C,B,B,D,C,A,A,D,D,A,B,B,A,C,B,D,B,C
C11,Control,D,B,C,B,C,C,D,D,D,C,B,B,B,A,A,D,B,A,A,D
C12,Control,B,B,A,D,A,A,C,D,A,A,B,D,D,C,C,D,B,B,B,D
C13,Control,A,D,D,B,C,B,D,A,A,C,B,A,D,A,C,D,A,C,D,A
C14,Control,C,A,C,C,C,C,D,D,A,D,B,C,B,C,D,D,B,A,B,D
C15,Control,B,D,A,B,D,D,C,D,D,D,B,C,D,D,A,D,B,A,A,B
C16,Control,B,D,B,C,D,B,D,D,A,C,A,A,C,B,C,D,D,C,B,B
C17,Control,B,B,A,C,C,A,D,C,A,C,B,C,D,C,A,D,B,A,B,A
C18,Control,B,D,A,B,B,C,D,D,A,C,B,C,D,C,A,D,B,A,B,D
C19,Control,B,B,B,C,D,A,B,D,A,D,B,C,D,C,A,D,C,C,D,D
C20,Control,B,D,A,B,B,C,A,C,A,D,B,C,D,C,A,A,C,C,A,B
C21,Control,D,A,C,B,C,C,A,A,A,C,B,A,D,C,A,D,B,C,A,D
C22,Control,B,D,A,B,D,B,C,A,A,C,A,C,D,B,A,D,B,B,C,D
C23,Control,C,C,A,C,D,A,A,A,A,D,B,D,C,C,D,D,A,C,A,D
C24,Control,B,B,A,D,D,D,C,D,D,D,B,C,B,C,C,D,D,A,A,C
C25,Control,D,B,A,A,C,A,B,D,A,B,B,C,A,C,B,A,B,A,D,B
C26,Control,A,B,A,B,C,C,C,D,A,C,B,D,D,C,C,D,B,B,A,C
C27,Control,D,D,A,D,B,D,A,B,B,C,B,B,D,C,A,D,D,C,B,B
C28,Control,D,D,C,C,D,B,B,D,B,D,B,A,B,C,A,A,B,A,A,B
C29,Control,B,D,A,B,C,A,C,D,A,C,B,C,D,C,A,D,B,D,B,D
C30,Control,D,A,A,C,C,C,A,D,A,D,B,B,D,C,A,D,D,B,C,D
T01,Thematic,C,B,A,B,B,C,A,B,B,C,B,D,C,C,B,C,B,D,B,D
T02,Thematic,D,B,C,B,D,A,B,A,A,D,B,B,B,D,B,D,A,C,A,A
T03,Thematic,D,D,A,B,D,A,B,D,A,D,B,D,A,D,B,C,B,A,B,D
T04,Thematic,B,B,C,B,C,C,C,D,A,D,D,D,C,A,B,D,B,C,C,D
T05,Thematic,D,C,C,B,D,A,D,C,A,D,B,D,C,C,A,C,B,B,A,A
T06,Thematic,B,D,C,D,D,A,A,D,D,D,A,C,A,B,B,D,A,B,A,D
T07,Thematic,B,A,D,B,A,D,D,A,A,C,B,B,A,D,A,C,B,A,A,D
T08,Thematic,B,A,A,D,C,A,C,D,A,C,B,C,B,D,A,D,B,C,B,A
T09,Thematic,C,C,B,C,D,A,D,D,A,D,B,A,C,C,B,B,A,C,C,B
T10,Thematic,B,D,A,B,C,A,C,D,A,D,A,D,D,C,A,A,D,B,A,D
T11,Thematic,B,C,A,C,C,A,D,A,D,C,B,D,A,A,D,D,A,B,D,D
T12,Thematic,D,D,A,B,D,A,D,D,D,C,B,D,A,C,A,D,B,B,C,D
T13,Thematic,A,D,A,A,C,D,C,D,A,B,B,C,A,C,A,D,B,B,A,C
T14,Thematic,B,D,A,C,B,C,C,D,A,D,B,C,A,B,A,C,B,C,D,D
T15,Thematic,A,D,C,C,A,C,C,D,A,C,B,A,A,D,B,B,A,A,A,D
T16,Thematic,B,D,A,B,C,B,A,A,A,C,A,B,A,D,A,D,B,C,B,A
T17,Thematic,B,B,A,B,C,A,D,D,D,D,B,D,C,B,A,A,B,B,A,B
T18,Thematic,D,D,C,C,C,D,B,D,A,D,A,C,C,D,A,D,A,B,B,A
T19,Thematic,B,B,D,C,D,C,B,D,D,B,B,A,C,C,A,C,A,B,A,D
T20,Thematic,B,D,A,B,C,A,C,D,D,C,B,D,A,D,B,D,B,C,D,D
T21,Thematic,B,D,B,B,B,D,D,D,A,C,B,D,C,D,C,D,D,B,D,D
T22,Thematic,B,B,C,C,D,C,C,C,A,C,B,D,A,D,B,D,D,B,A,D
T23,Thematic,B,A,C,A,A,A,C,D,C,D,B,D,D,D,D,D,C,C,A,D
T24,Thematic,D,B,A,C,C,B,D,B,A,D,C,A,B,C,D,D,C,C,A,D
T25,Thematic,B,D,A,B,C,B,D,D,D,D,B,B,A,D,A,D,B,D,A,D
T26,Thematic,B,D,A,C,B,D,C,A,A,D,B,C,A,D,A,D,B,C,B,D
T27,Thematic,B,B,A,A,D,B,C,D,A,C,B,C,A,C,C,D,A,D,B,C
T28,Thematic,B,D,A,B,D,C,A,D,B,D,B,D,A,A,A,C,B,C,B,A
T29,Thematic,D,D,A,B,C,A,C,D,A,A,B,D,A,D,A,D,B,A,B,D
T30,Thematic,B,B,B,D,C,C,A,A,A,D,C,B,A,C,C,D,B,C,C,D
G01,Grounding,B,A,A,C,C,D,D,A,A,D,D,C,B,B,C,B,A,D,B,D
G02,Grounding,B,D,A,B,C,B,C,D,A,D,D,C,D,A,A,D,A,D,C,B
G03,Grounding,A,B,D,D,D,C,A,D,A,C,A,C,B,C,D,C,B,A,B,A
G04,Grounding,D,D,A,A,C,C,B,B,A,D,D,C,C,D,C,C,B,D,C,A
G05,Grounding,B,D,A,B,C,C,C,D,D,D,D,B,A,A,A,D,A,D,A,B
G06,Grounding,B,C,A,C,C,A,C,A,D,C,D,B,D,D,D,B,B,D,D,C
G07,Grounding,A,A,A,C,C,A,D,A,B,C,D,C,A,D,A,B,A,D,B,D
G08,Grounding,B,D,C,A,D,A,D,D,A,C,A,C,D,B,C,B,C,B,B,A
G09,Grounding,B,D,C,B,A,A,C,A,A,D,D,C,A,B,B,A,B,D,B,C
G10,Grounding,D,C,C,B,D,A,A,D,A,C,D,C,A,B,D,D,A,A,B,B
G11,Grounding,A,B,A,B,C,A,A,D,A,C,D,C,D,C,A,D,A,B,B,C
G12,Grounding,B,D,A,C,D,D,D,A,D,C,D,D,A,B,A,D,A,D,B,B
G13,Grounding,B,B,B,C,B,A,D,D,A,B,C,A,D,B,A,D,B,B,B,D
G14,Grounding,B,D,A,B,D,A,C,A,A,D,D,B,A,B,A,D,A,A,A,D
G15,Grounding,B,B,B,B,D,B,C,D,A,C,D,D,A,B,C,B,A,D,D,D
G16,Grounding,B,B,A,D,D,D,A,D,A,C,D,A,C,B,B,B,A,B,C,B
G17,Grounding,C,D,C,D,A,A,C,D,A,B,D,C,D,D,A,D,A,C,B,A
G18,Grounding,D,B,A,B,B,D,D,D,A,D,D,D,A,A,B,A,A,D,D,B
G19,Grounding,B,B,C,C,D,B,C,A,A,A,A,C,A,D,C,C,B,D,C,D
G20,Grounding,B,D,A,B,C,C,C,D,D,D,D,C,A,B,C,D,A,B,B,B
G21,Grounding,B,D,A,B,C,B,D,D,A,D,D,D,A,D,C,B,D,D,D,B
G22,Grounding,B,D,B,B,C,D,B,D,D,C,D,D,D,C,A,A,A,D,C,C
G23,Grounding,D,C,A,B,D,A,D,C,C,D,B,C,A,C,C,B,A,D,B,D
G24,Grounding,D,B,C,B,B,A,C,D,B,D,A,C,D,B,A,D,D,C,A,D
G25,Grounding,B,A,A,B,D,A,B,B,A,D,D,C,C,B,A,B,A,D,A,B
G26,Grounding,D,D,C,A,B,C,D,D,C,C,A,D,B,D,C,D,C,D,A,B
G27,Grounding,B,D,A,B,C,C,A,D,D,D,D,C,D,D,A,B,A,B,B,D
G28,Grounding,D,D,A,B,A,A,B,A,A,D,C,C,A,D,A,A,B,B,B,D
G29,Grounding,D,B,D,C,C,C,D,D,A,C,B,D,D,D,B,C,A,D,D,D
G30,Grounding,C,D,A,C,C,C,C,D,A,D,D,C,A,D,D,B,A,B,A,D
