item_number,item_set,condition,item_id,word,correct_answer
11,secondary,Control,secondary_control_11,disappear,B
12,secondary,Control,secondary_control_12,restless,C
13,secondary,Control,secondary_control_13,uneven,D
14,secondary,Control,secondary_control_14,unwrap,C
15,secondary,Control,secondary_control_15,brighten,A
16,secondary,Control,secondary_control_16,colorless,D
17,secondary,Control,secondary_control_17,sharpen,B
18,secondary,Control,secondary_control_18,wander,C
19,secondary,Control,secondary_control_19,loosen,A
20,secondary,Control,secondary_control_20,tremble,B
11,secondary,Grounding,secondary_grounding_11,rethink,D
12,secondary,Grounding,secondary_grounding_12,unavoidable,C
13,secondary,Grounding,secondary_grounding_13,definite,A
14,secondary,Grounding,secondary_grounding_14,preserve,B
15,secondary,Grounding,secondary_grounding_15,dispute,C
16,secondary,Grounding,secondary_grounding_16,mislead,B
17,secondary,Grounding,secondary_grounding_17,encourage,A
18,secondary,Grounding,secondary_grounding_18,memory,D
19,secondary,Grounding,secondary_grounding_19,face,A
20,secondary,Grounding,secondary_grounding_20,withdraw,B
11,secondary,Thematic,secondary_thematic_11,prepare,B
12,secondary,Thematic,secondary_thematic_12,pending,C
13,secondary,Thematic,secondary_thematic_13,urgent,A
14,secondary,Thematic,secondary_thematic_14,submit,D
15,secondary,Thematic,secondary_thematic_15,assign,A
16,secondary,Thematic,secondary_thematic_16,flexible,D
17,secondary,Thematic,secondary_thematic_17,arrange,B
18,secondary,Thematic,secondary_thematic_18,estimate,C
19,secondary,Thematic,secondary_thematic_19,notify,B
20,secondary,Thematic,secondary_thematic_20,record,D
1,target,All,target_01,reconsider,B
2,target,All,target_02,avoidable,D
3,target,All,target_03,uncertain,A
4,target,All,target_04,maintain,B
5,target,All,target_05,settle,C
6,target,All,target_06,misleading,A
7,target,All,target_07,discourage,C
8,target,All,target_08,retain,A
9,target,All,target_09,overlook,D
10,target,All,target_10,engage,C
