item_set,item_id,word,condition,time,n,accuracy,correct,standard_error
target,target_01,reconsider,Control,Pretest,30,0.6,18,0.08944271909999159
target,target_01,reconsider,Control,Post-test,30,0.7333333333333333,22,0.08073734277593311
target,target_01,reconsider,Thematic,Pretest,30,0.6333333333333333,19,0.08798147953257401
target,target_01,reconsider,Thematic,Post-test,30,0.7666666666666667,23,0.07722022379508468
target,target_01,reconsider,Grounding,Pretest,30,0.5666666666666667,17,0.09047201327032126
target,target_01,reconsider,Grounding,Post-test,30,0.8,24,0.07302967433402215
target,target_02,avoidable,Control,Pretest,30,0.5,15,0.09128709291752768
target,target_02,avoidable,Control,Post-test,30,0.5,15,0.09128709291752768
target,target_02,avoidable,Thematic,Pretest,30,0.5,15,0.09128709291752768
target,target_02,avoidable,Thematic,Post-test,30,0.7,21,0.08366600265340757
target,target_02,avoidable,Grounding,Pretest,30,0.5,15,0.09128709291752768
target,target_02,avoidable,Grounding,Post-test,30,0.7666666666666667,23,0.07722022379508468
target,target_03,uncertain,Control,Pretest,30,0.6,18,0.08944271909999159
target,target_03,uncertain,Control,Post-test,30,0.6666666666666666,20,0.08606629658238704
target,target_03,uncertain,Thematic,Pretest,30,0.5666666666666667,17,0.09047201327032126
target,target_03,uncertain,Thematic,Post-test,30,0.7333333333333333,22,0.08073734277593311
target,target_03,uncertain,Grounding,Pretest,30,0.6,18,0.08944271909999159
target,target_03,uncertain,Grounding,Post-test,30,0.9,27,0.054772255750516606
target,target_04,maintain,Control,Pretest,30,0.5,15,0.09128709291752768
target,target_04,maintain,Control,Post-test,30,0.6666666666666666,20,0.08606629658238704
target,target_04,maintain,Thematic,Pretest,30,0.5,15,0.09128709291752768
target,target_04,maintain,Thematic,Post-test,30,0.7333333333333333,22,0.08073734277593311
target,target_04,maintain,Grounding,Pretest,30,0.5333333333333333,16,0.09108400680852977
target,target_04,maintain,Grounding,Post-test,30,0.8333333333333334,25,0.06804138174397716
target,target_05,settle,Control,Pretest,30,0.4,12,0.08944271909999159
target,target_05,settle,Control,Post-test,30,0.5,15,0.09128709291752768
target,target_05,settle,Thematic,Pretest,30,0.43333333333333335,13,0.09047201327032126
target,target_05,settle,Thematic,Post-test,30,0.6666666666666666,20,0.08606629658238704
target,target_05,settle,Grounding,Pretest,30,0.43333333333333335,13,0.09047201327032126
