participant_id,condition,time,target_correct,secondary_correct,target_total,secondary_total,target_accuracy,secondary_accuracy
C01,Control,Pretest,2,5,10,10,0.2,0.5
C01,Control,Post-test,3,8,10,10,0.3,0.8
C02,Control,Pretest,2,7,10,10,0.2,0.7
C02,Control,Post-test,2,7,10,10,0.2,0.7
C03,Control,Pretest,3,4,10,10,0.3,0.4
C03,Control,Post-test,5,8,10,10,0.5,0.8
C04,Control,Pretest,9,9,10,10,0.9,0.9
C04,Control,Post-test,8,9,10,10,0.8,0.9
C05,Control,Pretest,6,6,10,10,0.6,0.6
C05,Control,Post-test,7,8,10,10,0.7,0.8
C06,Control,Pretest,7,7,10,10,0.7,0.7
C06,Control,Post-test,6,9,10,10,0.6,0.9
C07,Control,Pretest,7,7,10,10,0.7,0.7
C07,Control,Post-test,7,7,10,10,0.7,0.7
C08,Control,Pretest,4,8,10,10,0.4,0.8
C08,Control,Post-test,4,7,10,10,0.4,0.7
C09,Control,Pretest,3,4,10,10,0.3,0.4
C09,Control,Post-test,4,6,10,10,0.4,0.6
C10,Control,Pretest,4,2,10,10,0.4,0.2
C10,Control,Post-test,6,5,10,10,0.6,0.5
C11,Control,Pretest,4,5,10,10,0.4,0.5
C11,Control,Post-test,6,6,10,10,0.6,0.6
C12,Control,Pretest,4,5,10,10,0.4,0.5
C12,Control,Post-test,5,6,10,10,0.5,0.6
C13,Control,Pretest,5,4,10,10,0.5,0.4
C13,Control,Post-test,6,7,10,10,0.6,0.7
C14,Control,Pretest,1,5,10,10,0.1,0.5
C14,Control,Post-test,3,7,10,10,0.3,0.7
C15,Control,Pretest,6,8,10,10,0.6,0.8
C15,Control,Post-test,7,10,10,10,0.7,1
C16,Control,Pretest,3,3,10,10,0.3,0.3
C16,Control,Post-test,5,5,10,10,0.5,0.5
C17,Control,Pretest,5,7,10,10,0.5,0.7
C17,Control,Post-test,7,8,10,10,0.7,0.8
C18,Control,Pretest,5,7,10,10,0.5,0.7
C18,Control,Post-test,4,8,10,10,0.4,0.8
C19,Control,Pretest,2,7,10,10,0.2,0.7
C19,Control,Post-test,2,7,10,10,0.2,0.7
C20,Control,Pretest,4,8,10,10,0.4,0.8
C20,Control,Post-test,5,9,10,10,0.5,0.9
C21,Control,Pretest,4,8,10,10,0.4,0.8
C21,Control,Post-test,5,8,10,10,0.5,0.8
C22,Control,Pretest,7,5,10,10,0.7,0.5
C22,Control,Post-test,7,9,10,10,0.7,0.9
C23,Control,Pretest,3,5,10,10,0.3,0.5
C23,Control,Post-test,5,6,10,10,0.5,0.6
C24,Control,Pretest,4,5,10,10,0.4,0.5
C24,Control,Post-test,6,7,10,10,0.6,0.7
C25,Control,Pretest,3,5,10,10,0.3,0.5
C25,Control,Post-test,4,9,10,10,0.4,0.9
C26,Control,Pretest,5,6,10,10,0.5,0.6
C26,Control,Post-test,5,8,10,10,0.5,0.8
C27,Control,Pretest,3,7,10,10,0.3,0.7
C27,Control,Post-test,6,6,10,10,0.6,0.6
