variable,mean,sd,rhat,ess_bulk,ess_tail
b_Intercept,-0.36677443319248326,0.23471153071493986,1.001842404320953,1461.0045608662595,2052.6544522267563
b_timePostMtest,0.5207393778737112,0.17870389319996952,1.00134471589134,2907.9801823883276,3178.5231446817697
b_conditionThematic,0.041642478817805,0.22538588431988008,1.0016612620325718,2021.1103036590214,2398.777928104829
b_conditionGrounding,0.0648807911258238,0.22171003436245088,1.0010351927990662,2229.617934700244,2398.593302849644
b_timePostMtest:conditionThematic,0.5333109604213124,0.24771421536461613,1.0028769146587275,3033.6976854295367,2892.487828463333
b_timePostMtest:conditionGrounding,1.5041432361979,0.26921037355328625,1.0010172950333116,3082.948914818263,3277.6254013232397
sd_item_id__Intercept,0.5566607052987107,0.15835378814427295,1.0011398740397062,1342.2699307776934,2141.557907219225
sd_item_id__timePostMtest,0.14763308589018118,0.11452281887499563,1.0004472162889184,2102.247766835806,1966.4574878148294
sd_participant_id__Intercept,0.5771429055707236,0.08790985037714681,1.0007901718874732,1812.1830820879097,2685.206742021465
sd_participant_id__timePostMtest,0.1130627483327326,0.08889928606847722,1.0015298438221976,2021.590117835084,2372.3477097034774
cor_item_id__Intercept__timePostMtest,-0.2986099680303014,0.4283624444344842,1.000848563866762,4023.6188340654107,2938.6939683126116
cor_participant_id__Intercept__timePostMtest,-0.1488004343280577,0.45018390017171106,1.0013195754890356,3751.7236140960254,2334.964144437768
