fitted_decile,trials,mean_fitted,observed_accuracy,mean_pearson_residual,residual_standard_error
1,180,0.240895854841492,0.15555555555555556,-0.2082102594441001,0.060974942451821945
2,180,0.3378532080575321,0.28888888888888886,-0.10366380963197315,0.07159003822575048
3,180,0.3906724668054694,0.35555555555555557,-0.07213101487721153,0.07330082255276463
4,180,0.44980172381913147,0.43333333333333335,-0.03283333609569886,0.07465569889968322
5,180,0.5034069033746231,0.4722222222222222,-0.06243999602543576,0.07482627844953381
6,180,0.5565315555935985,0.6333333333333333,0.15466112326650702,0.07250761500781294
7,180,0.6262401817809891,0.6833333333333333,0.11811851564646217,0.071875034197246307
8,180,0.7013633708915443,0.75,0.10601711322639534,0.07077767873370888
9,180,0.7969082139329446,0.8444444444444444,0.11231827558325445,0.06875727992995184
10,180,0.8862186682190129,0.8722222222222222,-0.03193903728141948,0.07559640528094942
