model_label,candidate_order,formula,fitted,convergence_ok,singular,warning_count,warnings,convergence_messages,error,AIC,BIC,selected
Control secondary-item GLMM,1,correct ~ time + (1 + time | participant_id) + (1 + time | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,733.2992753055112,768.4747125472403,FALSE
Control secondary-item GLMM,2,correct ~ time + (1 + time || participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,737.2992753190606,781.2685718712221,FALSE
Control secondary-item GLMM,3,correct ~ time + (1 + time || participant_id) + (1 | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,732.194087772053,762.972595358566,FALSE
Control secondary-item GLMM,4,correct ~ time + (1 | participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,731.3237697976031,762.1022773841161,FALSE
Control secondary-item GLMM,5,correct ~ time + (1 | participant_id) + (1 | item_id),TRUE,TRUE,FALSE,0,,,NA,726.1955677201439,743.7832863410085,TRUE
Thematic secondary-item GLMM,1,correct ~ time + (1 + time | participant_id) + (1 + time | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,778.8422967074301,814.0177339491593,FALSE
Thematic secondary-item GLMM,2,correct ~ time + (1 + time || participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,782.8422974880064,826.8115940401678,FALSE
Thematic secondary-item GLMM,3,correct ~ time + (1 + time || participant_id) + (1 | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,780.7500539162685,811.5285615027815,FALSE
Thematic secondary-item GLMM,4,correct ~ time + (1 | participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,776.8427748469205,807.6212824334335,FALSE
Thematic secondary-item GLMM,5,correct ~ time + (1 | participant_id) + (1 | item_id),TRUE,TRUE,FALSE,0,,,NA,774.8104859068123,792.398204527677,TRUE
Grounding secondary-item GLMM,1,correct ~ time + (1 + time | participant_id) + (1 + time | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,788.9898992317081,824.1653364734373,FALSE
Grounding secondary-item GLMM,2,correct ~ time + (1 + time || participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,792.9909767143246,836.9602732664861,FALSE
Grounding secondary-item GLMM,3,correct ~ time + (1 + time || participant_id) + (1 | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,789.5549163353185,820.3334239218315,FALSE
Grounding secondary-item GLMM,4,correct ~ time + (1 | participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,787.2120613399295,817.9905689264425,FALSE
Grounding secondary-item GLMM,5,correct ~ time + (1 | participant_id) + (1 | item_id),TRUE,TRUE,FALSE,0,,,NA,783.6226660206343,801.2103846414989,TRUE
