repetition,fit_succeeded,singular,contrast,estimate,scale
1,TRUE,FALSE,Grounding vs Control,2.042422370256825,log_odds
1,TRUE,FALSE,Grounding vs Thematic,1.2316440747714466,log_odds
1,TRUE,FALSE,Thematic vs Control,0.8107782954853784,log_odds
1,TRUE,FALSE,Grounding vs Control,0.37072871106290994,probability
1,TRUE,FALSE,Grounding vs Thematic,0.17994752273087422,probability
1,TRUE,FALSE,Thematic vs Control,0.19078118833203572,probability
2,TRUE,FALSE,Grounding vs Control,1.7151032081908826,log_odds
2,TRUE,FALSE,Grounding vs Thematic,0.4688454525925607,log_odds
2,TRUE,FALSE,Thematic vs Control,1.2462577555983219,log_odds
2,TRUE,FALSE,Grounding vs Control,0.39276044939451166,probability
2,TRUE,FALSE,Grounding vs Thematic,0.0933139572267973,probability
2,TRUE,FALSE,Thematic vs Control,0.29944649216771435,probability
3,TRUE,FALSE,Grounding vs Control,1.5654183491711984,log_odds
3,TRUE,FALSE,Grounding vs Thematic,1.2490117735015804,log_odds
3,TRUE,FALSE,Thematic vs Control,0.31640657566961805,log_odds
3,TRUE,FALSE,Grounding vs Control,0.2954875741943488,probability
3,TRUE,FALSE,Grounding vs Thematic,0.22662325941339218,probability
3,TRUE,FALSE,Thematic vs Control,0.06886431478095661,probability
4,TRUE,FALSE,Grounding vs Control,1.4678636441617243,log_odds
4,TRUE,FALSE,Grounding vs Thematic,0.7551160157503463,log_odds
4,TRUE,FALSE,Thematic vs Control,0.7127476284113781,log_odds
4,TRUE,FALSE,Grounding vs Control,0.3041210406813589,probability
4,TRUE,FALSE,Grounding vs Thematic,0.150665715525715,probability
4,TRUE,FALSE,Thematic vs Control,0.15345532515564392,probability
5,TRUE,FALSE,Grounding vs Control,1.8477640520404877,log_odds
5,TRUE,FALSE,Grounding vs Thematic,1.6142795551269198,log_odds
5,TRUE,FALSE,Thematic vs Control,0.23348449691356776,log_odds
5,TRUE,FALSE,Grounding vs Control,0.3548375823481303,probability
5,TRUE,FALSE,Grounding vs Thematic,0.293383283818512,probability
5,TRUE,FALSE,Thematic vs Control,0.06145429852961831,probability
6,TRUE,FALSE,Grounding vs Control,1.6294189469620135,log_odds
6,TRUE,FALSE,Grounding vs Thematic,1.0257456826082456,log_odds
6,TRUE,FALSE,Thematic vs Control,0.6036732643537679,log_odds
6,TRUE,FALSE,Grounding vs Control,0.2870380268407839,probability
6,TRUE,FALSE,Grounding vs Thematic,0.14904216430986944,probability
6,TRUE,FALSE,Thematic vs Control,0.13799586253091445,probability
7,TRUE,FALSE,Grounding vs Control,1.524658684994442,log_odds
7,TRUE,FALSE,Grounding vs Thematic,1.2825898913045413,log_odds
7,TRUE,FALSE,Thematic vs Control,0.24206879368990064,log_odds
7,TRUE,FALSE,Grounding vs Control,0.2838372219751579,probability
7,TRUE,FALSE,Grounding vs Thematic,0.22585194359776406,probability
7,TRUE,FALSE,Thematic vs Control,0.05798527837739387,probability
8,TRUE,FALSE,Grounding vs Control,1.622616996222987,log_odds
8,TRUE,FALSE,Grounding vs Thematic,0.9460918325353513,log_odds
8,TRUE,FALSE,Thematic vs Control,0.6765251636876356,log_odds
8,TRUE,FALSE,Grounding vs Control,0.32957233804999286,probability
8,TRUE,FALSE,Grounding vs Thematic,0.19817388267598018,probability
8,TRUE,FALSE,Thematic vs Control,0.13139845537401268,probability
9,TRUE,FALSE,Grounding vs Control,1.5383618977317752,log_odds
9,TRUE,FALSE,Grounding vs Thematic,1.0050074299983702,log_odds
9,TRUE,FALSE,Thematic vs Control,0.5333544677334052,log_odds
9,TRUE,FALSE,Grounding vs Control,0.30231913427002105,probability
9,TRUE,FALSE,Grounding vs Thematic,0.17694544846170795,probability
9,TRUE,FALSE,Thematic vs Control,0.1253736858083131,probability
10,TRUE,FALSE,Grounding vs Control,1.6103458343421257,log_odds
10,TRUE,FALSE,Grounding vs Thematic,1.1200527290176603,log_odds
10,TRUE,FALSE,Thematic vs Control,0.4902931053244655,log_odds
10,TRUE,FALSE,Grounding vs Control,0.33232786745707243,probability
10,TRUE,FALSE,Grounding vs Thematic,0.21674003428076644,probability
10,TRUE,FALSE,Thematic vs Control,0.115587833176306,probability
11,TRUE,FALSE,Grounding vs Control,1.6582910735653695,log_odds
11,TRUE,FALSE,Grounding vs Thematic,1.1895349881358155,log_odds
11,TRUE,FALSE,Thematic vs Control,0.46875608542955405,log_odds
11,TRUE,FALSE,Grounding vs Control,0.3353941521491173,probability
11,TRUE,FALSE,Grounding vs Thematic,0.21498449578595785,probability
11,TRUE,FALSE,Thematic vs Control,0.12040965636315942,probability
12,TRUE,FALSE,Grounding vs Control,1.2487986292491768,log_odds
12,TRUE,FALSE,Grounding vs Thematic,0.6471341452782825,log_odds
12,TRUE,FALSE,Thematic vs Control,0.6016644839708943,log_odds
12,TRUE,FALSE,Grounding vs Control,0.23255837076163277,probability
12,TRUE,FALSE,Grounding vs Thematic,0.08923789790197129,probability
12,TRUE,FALSE,Thematic vs Control,0.14332047285966149,probability
13,TRUE,FALSE,Grounding vs Control,1.5524337305996538,log_odds
13,TRUE,FALSE,Grounding vs Thematic,0.8193692495702303,log_odds
13,TRUE,FALSE,Thematic vs Control,0.7330644810294236,log_odds
13,TRUE,FALSE,Grounding vs Control,0.29436425775154346,probability
13,TRUE,FALSE,Grounding vs Thematic,0.1193351018571106,probability
13,TRUE,FALSE,Thematic vs Control,0.17502915589443285,probability
14,TRUE,FALSE,Grounding vs Control,1.6067317984209137,log_odds
14,TRUE,FALSE,Grounding vs Thematic,1.3273810719991617,log_odds
14,TRUE,FALSE,Thematic vs Control,0.27935072642175196,log_odds
14,TRUE,FALSE,Grounding vs Control,0.26206219222566046,probability
14,TRUE,FALSE,Grounding vs Thematic,0.1993636110559851,probability
14,TRUE,FALSE,Thematic vs Control,0.06269858116967536,probability
15,TRUE,FALSE,Grounding vs Control,2.323015809362373,log_odds
15,TRUE,FALSE,Grounding vs Thematic,1.2245068106327273,log_odds
15,TRUE,FALSE,Thematic vs Control,1.0985089987296457,log_odds
15,TRUE,FALSE,Grounding vs Control,0.4162562726372766,probability
15,TRUE,FALSE,Grounding vs Thematic,0.15806840551978713,probability
15,TRUE,FALSE,Thematic vs Control,0.2581878671174895,probability
16,TRUE,FALSE,Grounding vs Control,1.8872219156777659,log_odds
16,TRUE,FALSE,Grounding vs Thematic,1.0394233726250965,log_odds
16,TRUE,FALSE,Thematic vs Control,0.8477985430526693,log_odds
16,TRUE,FALSE,Grounding vs Control,0.4066094107633822,probability
16,TRUE,FALSE,Grounding vs Thematic,0.20622144773392193,probability
16,TRUE,FALSE,Thematic vs Control,0.20038796302946027,probability
17,TRUE,FALSE,Grounding vs Control,1.3588105572034896,log_odds
17,TRUE,FALSE,Grounding vs Thematic,1.0706416925398208,log_odds
17,TRUE,FALSE,Thematic vs Control,0.28816886466366887,log_odds
17,TRUE,FALSE,Grounding vs Control,0.25772804373235075,probability
17,TRUE,FALSE,Grounding vs Thematic,0.19833711740154703,probability
17,TRUE,FALSE,Thematic vs Control,0.05939092633080373,probability
18,TRUE,FALSE,Grounding vs Control,1.353278174051669,log_odds
18,TRUE,FALSE,Grounding vs Thematic,0.8925552075567684,log_odds
18,TRUE,FALSE,Thematic vs Control,0.46072296649490074,log_odds
18,TRUE,FALSE,Grounding vs Control,0.2581050197221177,probability
18,TRUE,FALSE,Grounding vs Thematic,0.1445630242463939,probability
18,TRUE,FALSE,Thematic vs Control,0.1135419954757238,probability
19,TRUE,FALSE,Grounding vs Control,1.7248310252000214,log_odds
19,TRUE,FALSE,Grounding vs Thematic,0.9974867940226191,log_odds
19,TRUE,FALSE,Thematic vs Control,0.7273442311774023,log_odds
19,TRUE,FALSE,Grounding vs Control,0.3517254681503091,probability
19,TRUE,FALSE,Grounding vs Thematic,0.17868042565602021,probability
19,TRUE,FALSE,Thematic vs Control,0.17304504249428887,probability
20,TRUE,FALSE,Grounding vs Control,1.6054241217793717,log_odds
20,TRUE,FALSE,Grounding vs Thematic,0.9809237621374856,log_odds
20,TRUE,FALSE,Thematic vs Control,0.6245003596418862,log_odds
20,TRUE,FALSE,Grounding vs Control,0.3357611659768463,probability
20,TRUE,FALSE,Grounding vs Thematic,0.19362264707111804,probability
20,TRUE,FALSE,Thematic vs Control,0.14213851890572826,probability
21,TRUE,FALSE,Grounding vs Control,1.8385960770193783,log_odds
21,TRUE,FALSE,Grounding vs Thematic,1.678485993044235,log_odds
21,TRUE,FALSE,Thematic vs Control,0.16011008397514337,log_odds
21,TRUE,FALSE,Grounding vs Control,0.32873641419495125,probability
21,TRUE,FALSE,Grounding vs Thematic,0.28822448038704757,probability
21,TRUE,FALSE,Thematic vs Control,0.04051193380790369,probability
22,TRUE,FALSE,Grounding vs Control,1.4594038839479229,log_odds
22,TRUE,FALSE,Grounding vs Thematic,0.7713741994180747,log_odds
22,TRUE,FALSE,Thematic vs Control,0.6880296845298483,log_odds
22,TRUE,FALSE,Grounding vs Control,0.23883947783804949,probability
22,TRUE,FALSE,Grounding vs Thematic,0.09863583833901068,probability
22,TRUE,FALSE,Thematic vs Control,0.1402036394990388,probability
23,TRUE,FALSE,Grounding vs Control,1.3311412773721778,log_odds
23,TRUE,FALSE,Grounding vs Thematic,1.172130671726769,log_odds
23,TRUE,FALSE,Thematic vs Control,0.15901060564540892,log_odds
23,TRUE,FALSE,Grounding vs Control,0.22185402781994762,probability
23,TRUE,FALSE,Grounding vs Thematic,0.1909312864605437,probability
23,TRUE,FALSE,Thematic vs Control,0.030922741359403927,probability
24,TRUE,FALSE,Grounding vs Control,2.0234239792332596,log_odds
24,TRUE,FALSE,Grounding vs Thematic,1.0696742903888117,log_odds
24,TRUE,FALSE,Thematic vs Control,0.9537496888444479,log_odds
24,TRUE,FALSE,Grounding vs Control,0.3907434983222702,probability
24,TRUE,FALSE,Grounding vs Thematic,0.165782556501401,probability
24,TRUE,FALSE,Thematic vs Control,0.22496094182086918,probability
25,TRUE,FALSE,Grounding vs Control,1.8175858234494338,log_odds
25,TRUE,FALSE,Grounding vs Thematic,1.3071967429778515,log_odds
25,TRUE,FALSE,Thematic vs Control,0.5103890804715824,log_odds
25,TRUE,FALSE,Grounding vs Control,0.3166601827814248,probability
25,TRUE,FALSE,Grounding vs Thematic,0.1998871588322445,probability
25,TRUE,FALSE,Thematic vs Control,0.11677302394918032,probability
26,TRUE,FALSE,Grounding vs Control,2.0543358441607893,log_odds
26,TRUE,FALSE,Grounding vs Thematic,1.6459015524472183,log_odds
26,TRUE,FALSE,Thematic vs Control,0.4084342917135708,log_odds
26,TRUE,FALSE,Grounding vs Control,0.3836682869697831,probability
26,TRUE,FALSE,Grounding vs Thematic,0.27732711723693027,probability
26,TRUE,FALSE,Thematic vs Control,0.10634116973285285,probability
27,TRUE,FALSE,Grounding vs Control,1.6874861566248223,log_odds
27,TRUE,FALSE,Grounding vs Thematic,1.0841742980872144,log_odds
27,TRUE,FALSE,Thematic vs Control,0.6033118585376078,log_odds
27,TRUE,FALSE,Grounding vs Control,0.33217522963992724,probability
27,TRUE,FALSE,Grounding vs Thematic,0.1868353260740005,probability
27,TRUE,FALSE,Thematic vs Control,0.14533990356592674,probability
28,TRUE,FALSE,Grounding vs Control,1.8742878468781443,log_odds
28,TRUE,FALSE,Grounding vs Thematic,1.0939240758557591,log_odds
28,TRUE,FALSE,Thematic vs Control,0.7803637710223853,log_odds
28,TRUE,FALSE,Grounding vs Control,0.358686259145383,probability
28,TRUE,FALSE,Grounding vs Thematic,0.18917105775390192,probability
28,TRUE,FALSE,Thematic vs Control,0.16951520139148107,probability
29,TRUE,FALSE,Grounding vs Control,1.7414495222270245,log_odds
29,TRUE,FALSE,Grounding vs Thematic,1.3836977397614523,log_odds
29,TRUE,FALSE,Thematic vs Control,0.35775178246557215,log_odds
29,TRUE,FALSE,Grounding vs Control,0.3021717306216042,probability
29,TRUE,FALSE,Grounding vs Thematic,0.21887718884322127,probability
29,TRUE,FALSE,Thematic vs Control,0.08329454177838291,probability
30,TRUE,FALSE,Grounding vs Control,1.5037351260740914,log_odds
30,TRUE,FALSE,Grounding vs Thematic,1.3470343495043378,log_odds
30,TRUE,FALSE,Thematic vs Control,0.15670077656975379,log_odds
30,TRUE,FALSE,Grounding vs Control,0.2701939209549348,probability
30,TRUE,FALSE,Grounding vs Thematic,0.2394990329331595,probability
30,TRUE,FALSE,Thematic vs Control,0.03069488802177528,probability
31,TRUE,FALSE,Grounding vs Control,1.4337705699672205,log_odds
31,TRUE,FALSE,Grounding vs Thematic,1.085291749358047,log_odds
31,TRUE,FALSE,Thematic vs Control,0.3484788206091736,log_odds
31,TRUE,FALSE,Grounding vs Control,0.2595810961077781,probability
31,TRUE,FALSE,Grounding vs Thematic,0.17631644897054877,probability
31,TRUE,FALSE,Thematic vs Control,0.08326464713722931,probability
32,TRUE,FALSE,Grounding vs Control,1.6112913595095866,log_odds
32,TRUE,FALSE,Grounding vs Thematic,0.8909840752248026,log_odds
