excluded_item_id,excluded_item_number,excluded_word,observations,singular,chi_square,p_value
target_01,1,reconsider,1620,FALSE,35.418470658740944,2.0369333450264972e-8
target_02,2,avoidable,1620,FALSE,33.195315024898036,6.190545640401686e-8
target_03,3,uncertain,1620,FALSE,31.810795222413617,1.2370110666735184e-7
target_04,4,maintain,1620,FALSE,34.97880740857113,2.5377479139307628e-8
target_05,5,settle,1620,FALSE,31.559832767897205,1.4023918834719723e-7
target_06,6,misleading,1620,FALSE,35.40419053035407,2.0515292256211978e-8
target_07,7,discourage,1620,FALSE,27.489316987549046,1.073422416506926e-6
target_08,8,retain,1620,FALSE,30.1455160033629,2.844358757209093e-7
target_09,9,overlook,1620,FALSE,28.576407107365867,6.233214041458589e-7
target_10,10,engage,1620,FALSE,30.11573900299618,2.8870238143244403e-7
