participant_id,condition,target_accuracy_Pretest,target_accuracy_Post-test,target_correct_Pretest,target_correct_Post-test,gain_accuracy,gain_correct
C01,Control,0.2,0.3,2,3,0.09999999999999998,1
C02,Control,0.2,0.2,2,2,0,0
C03,Control,0.3,0.5,3,5,0.2,2
C04,Control,0.9,0.8,9,8,-0.09999999999999998,-1
C05,Control,0.6,0.7,6,7,0.09999999999999998,1
C06,Control,0.7,0.6,7,6,-0.09999999999999998,-1
C07,Control,0.7,0.7,7,7,0,0
C08,Control,0.4,0.4,4,4,0,0
C09,Control,0.3,0.4,3,4,0.10000000000000003,1
C10,Control,0.4,0.6,4,6,0.19999999999999996,2
C11,Control,0.4,0.6,4,6,0.19999999999999996,2
C12,Control,0.4,0.5,4,5,0.09999999999999998,1
C13,Control,0.5,0.6,5,6,0.09999999999999998,1
C14,Control,0.1,0.3,1,3,0.19999999999999998,2
C15,Control,0.6,0.7,6,7,0.09999999999999998,1
C16,Control,0.3,0.5,3,5,0.2,2
C17,Control,0.5,0.7,5,7,0.19999999999999996,2
C18,Control,0.5,0.4,5,4,-0.09999999999999998,-1
C19,Control,0.2,0.2,2,2,0,0
C20,Control,0.4,0.5,4,5,0.09999999999999998,1
C21,Control,0.4,0.5,4,5,0.09999999999999998,1
C22,Control,0.7,0.7,7,7,0,0
C23,Control,0.3,0.5,3,5,0.2,2
C24,Control,0.4,0.6,4,6,0.19999999999999996,2
C25,Control,0.3,0.4,3,4,0.10000000000000003,1
C26,Control,0.5,0.5,5,5,0,0
C27,Control,0.3,0.6,3,6,0.3,3
C28,Control,0.1,0.6,1,6,0.5,5
C29,Control,0.8,0.8,8,8,0,0
C30,Control,0.2,0.5,2,5,0.3,3
G01,Grounding,0.4,0.9,4,9,0.5,5
G02,Grounding,0.6,1,6,10,0.4,4
G03,Grounding,0.1,0.8,1,8,0.7000000000000001,7
G04,Grounding,0.3,0.8,3,8,0.5,5
G05,Grounding,0.7,0.9,7,9,0.20000000000000007,2
G06,Grounding,0.8,0.9,8,9,0.09999999999999998,1
G07,Grounding,0.5,0.9,5,9,0.4,4
G08,Grounding,0.4,0.8,4,8,0.4,4
G09,Grounding,0.6,0.9,6,9,0.30000000000000004,3
G10,Grounding,0.3,0.7,3,7,0.39999999999999997,4
G11,Grounding,0.5,0.8,5,8,0.30000000000000004,3
G12,Grounding,0.6,0.7,6,7,0.09999999999999998,1
G13,Grounding,0.2,0.6,2,6,0.39999999999999997,4
G14,Grounding,0.7,0.9,7,9,0.20000000000000007,2
G15,Grounding,0.4,0.7,4,7,0.29999999999999993,3
G16,Grounding,0.3,0.8,3,8,0.5,5
G17,Grounding,0.3,0.7,3,7,0.39999999999999997,4
G18,Grounding,0.2,0.8,2,8,0.6000000000000001,6
G19,Grounding,0.3,0.9,3,9,0.6000000000000001,6
G20,Grounding,0.7,0.8,7,8,0.10000000000000009,1
G21,Grounding,0.5,0.9,5,9,0.4,4
G22,Grounding,0.6,1,6,10,0.4,4
G23,Grounding,0.3,0.9,3,9,0.6000000000000001,6
G24,Grounding,0.3,0.8,3,8,0.5,5
G25,Grounding,0.4,0.7,4,7,0.29999999999999993,3
G26,Grounding,0.2,0.8,2,8,0.6000000000000001,6
G27,Grounding,0.6,0.9,6,9,0.30000000000000004,3
G28,Grounding,0.5,0.9,5,9,0.4,4
G29,Grounding,0.2,0.9,2,9,0.7,7
G30,Grounding,0.4,0.8,4,8,0.4,4
T01,Thematic,0.3,0.3,3,3,0,0
T02,Thematic,0.3,0.5,3,5,0.2,2
T03,Thematic,0.4,0.6,4,6,0.19999999999999996,2
T04,Thematic,0.4,0.6,4,6,0.19999999999999996,2
T05,Thematic,0.2,0.3,2,3,0.09999999999999998,1
T06,Thematic,0.4,0.7,4,7,0.29999999999999993,3
T07,Thematic,0.4,0.9,4,9,0.5,5
T08,Thematic,0.6,0.6,6,6,0,0
T09,Thematic,0.1,0.6,1,6,0.5,5
T10,Thematic,0.7,0.8,7,8,0.10000000000000009,1
T11,Thematic,0.7,0.9,7,9,0.20000000000000007,2
T12,Thematic,0.6,0.9,6,9,0.30000000000000004,3
T13,Thematic,0.4,0.5,4,5,0.09999999999999998,1
T14,Thematic,0.4,0.7,4,7,0.29999999999999993,3
T15,Thematic,0.3,0.5,3,5,0.2,2
T16,Thematic,0.7,0.9,7,9,0.20000000000000007,2
T17,Thematic,0.6,0.7,6,7,0.09999999999999998,1
T18,Thematic,0.2,0.8,2,8,0.6000000000000001,6
T19,Thematic,0.2,0.6,2,6,0.39999999999999997,4
T20,Thematic,0.9,0.8,9,8,-0.09999999999999998,-1
T21,Thematic,0.4,0.7,4,7,0.29999999999999993,3
T22,Thematic,0.3,0.6,3,6,0.3,3
T23,Thematic,0.3,0.5,3,5,0.2,2
T24,Thematic,0.2,0.3,2,3,0.09999999999999998,1
T25,Thematic,0.6,0.9,6,9,0.30000000000000004,3
T26,Thematic,0.5,0.6,5,6,0.09999999999999998,1
T27,Thematic,0.4,0.5,4,5,0.09999999999999998,1
T28,Thematic,0.4,0.8,4,8,0.4,4
T29,Thematic,0.6,0.9,6,9,0.30000000000000004,3
T30,Thematic,0.3,0.7,3,7,0.39999999999999997,4
