condition,item_id,word,n_Pretest,n_Post-test,accuracy_Pretest,accuracy_Post-test,change_accuracy
Control,target_01,reconsider,30,30,0.6,0.7333333333333333,0.1333333333333333
Control,target_02,avoidable,30,30,0.5,0.5,0
Control,target_03,uncertain,30,30,0.6,0.6666666666666666,0.06666666666666665
Control,target_04,maintain,30,30,0.5,0.6666666666666666,0.16666666666666663
Control,target_05,settle,30,30,0.4,0.5,0.09999999999999998
Control,target_06,misleading,30,30,0.4,0.5666666666666667,0.16666666666666663
Control,target_07,discourage,30,30,0.36666666666666664,0.4666666666666667,0.10000000000000003
Control,target_08,retain,30,30,0.2,0.3,0.09999999999999998
Control,target_09,overlook,30,30,0.23333333333333334,0.36666666666666664,0.1333333333333333
Control,target_10,engage,30,30,0.4,0.5333333333333333,0.1333333333333333
Thematic,target_01,reconsider,30,30,0.6333333333333333,0.7666666666666667,0.13333333333333341
Thematic,target_02,avoidable,30,30,0.5,0.7,0.19999999999999996
Thematic,target_03,uncertain,30,30,0.5666666666666667,0.7333333333333333,0.16666666666666663
Thematic,target_04,maintain,30,30,0.5,0.7333333333333333,0.23333333333333328
Thematic,target_05,settle,30,30,0.43333333333333335,0.6666666666666666,0.23333333333333328
Thematic,target_06,misleading,30,30,0.43333333333333335,0.6333333333333333,0.19999999999999996
Thematic,target_07,discourage,30,30,0.4,0.6,0.19999999999999996
Thematic,target_08,retain,30,30,0.2,0.5,0.3
Thematic,target_09,overlook,30,30,0.23333333333333334,0.6333333333333333,0.39999999999999997
Thematic,target_10,engage,30,30,0.36666666666666664,0.6,0.23333333333333334
Grounding,target_01,reconsider,30,30,0.5666666666666667,0.8,0.2333333333333334
Grounding,target_02,avoidable,30,30,0.5,0.7666666666666667,0.2666666666666667
Grounding,target_03,uncertain,30,30,0.6,0.9,0.30000000000000004
Grounding,target_04,maintain,30,30,0.5333333333333333,0.8333333333333334,0.30000000000000004
Grounding,target_05,settle,30,30,0.43333333333333335,0.8333333333333334,0.4
Grounding,target_06,misleading,30,30,0.43333333333333335,0.7666666666666667,0.33333333333333337
Grounding,target_07,discourage,30,30,0.36666666666666664,0.9333333333333333,0.5666666666666667
Grounding,target_08,retain,30,30,0.26666666666666666,0.7666666666666667,0.5
Grounding,target_09,overlook,30,30,0.2,0.8,0.6000000000000001
Grounding,target_10,engage,30,30,0.4,0.9,0.5
